"Id","SalePrice"
1461,117683.823206042
1462,161189.868756835
1463,185234.417255073
1464,195904.791360035
1465,196896.186463808
1466,168125.340008441
1467,176455.350758447
1468,161898.221710731
1469,194668.722496709
1470,123460.210866638
1471,194561.109093235
1472,95126.6713065126
1473,94279.0874276382
1474,147667.134218669
1475,110728.830118734
1476,366414.684873676
1477,253891.320108392
1478,289340.215526944
1479,283806.723746459
1480,480529.922820559
1481,340718.958972688
1482,215749.887800506
1483,180564.068545661
1484,165116.570979849
1485,190468.98660565
1486,195756.36629487
1487,332435.206039469
1488,235199.195066525
1489,197047.801183773
1490,237132.838816802
1491,193457.077588332
1492,92710.5340694828
1493,191536.409031477
1494,301179.472057943
1495,295800.219009248
1496,237200.911244251
1497,178244.051879206
1498,165654.486368777
1499,160675.241985962
1500,156321.618129735
1501,174820.292504029
1502,145230.214794684
1503,287600.16465743
1504,241489.809936867
1505,224772.547096002
1506,196255.66727832
1507,249144.792392889
1508,196561.239461518
1509,162112.332095652
1510,146116.94602851
1511,146632.251162779
1512,181120.542345472
1513,144531.83174075
1514,158454.627943197
1515,181265.720095685
1516,153744.266777066
1517,166632.117387523
1518,134230.683780271
1519,210971.509100153
1520,131412.272739123
1521,132935.813521482
1522,176061.734064261
1523,111866.373928414
1524,128731.891255976
1525,123047.659020934
1526,117416.100455716
1527,102757.785252658
1528,133126.159400657
1529,153818.513559731
1530,177614.941582407
1531,104740.544062392
1532,101936.447367606
1533,160460.11158558
1534,116754.052197423
1535,154276.430462064
1536,110401.342052151
1537,64082.1153789262
1538,159145.215272944
1539,199093.870715206
1540,100767.868601824
1541,143143.745963223
1542,141045.844386941
1543,198248.134700975
1544,87463.9512932246
1545,118149.187266986
1546,132120.99852677
1547,135240.995363843
1548,142436.729625307
1549,116881.314025476
1550,136926.107466903
1551,114791.008609789
1552,136802.940967295
1553,151705.168343251
1554,119285.016953012
1555,171671.100150041
1556,90211.1560038736
1557,107117.417893402
1558,92774.7047727215
1559,86091.9508231293
1560,142034.30292754
1561,131904.835566296
1562,130963.248183978
1563,124125.331410017
1564,159039.505163958
1565,147121.68912905
1566,238110.781515179
1567,74913.1358941466
1568,240157.013355079
1569,132571.136790573
1570,138120.225107762
1571,119026.310691862
1572,144265.840196731
1573,230464.562299353
1574,128222.869072894
1575,235329.859826492
1576,250186.709341194
1577,184741.78424957
1578,140343.328777262
1579,148806.611077838
1580,192611.15824601
1581,159349.366179181
1582,129486.789303275
1583,315479.58906775
1584,216178.427991947
1585,141637.042654078
1586,61801.2153306329
1587,100301.762886895
1588,151335.829025067
1589,100144.967670571
1590,134666.779265514
1591,96990.3512126452
1592,111779.170786456
1593,122949.322121081
1594,140708.387230674
1595,112271.88345626
1596,222831.229224685
1597,190119.656840724
1598,223498.442853495
1599,163422.802041048
1600,163811.017904458
1601,65826.7833392611
1602,106560.119576119
1603,88351.0624346057
1604,271616.54669375
1605,237466.980743521
1606,172683.592640157
1607,170203.749659714
1608,218835.807186811
1609,183870.863968333
1610,150512.790376221
1611,140161.665679328
1612,166510.992981038
1613,158831.966199575
1614,124150.108519306
1615,91532.6160945084
1616,78714.2385111097
1617,90875.116011105
1618,121995.768699871
1619,140159.302306089
1620,160283.446961526
1621,129781.915815289
1622,137124.713687702
1623,268864.221487867
1624,208037.709929524
1625,118078.854692151
1626,164545.777299906
1627,187737.822502932
1628,278594.774890949
1629,178131.063176326
1630,365678.57020064
1631,224729.018551211
1632,250522.055596949
1633,169003.148428288
1634,183933.197836028
1635,177046.879928995
1636,152859.522326813
1637,202879.921343568
1638,192009.981678917
1639,182113.877997242
1640,269592.396036587
1641,178566.62491087
1642,237071.780598745
1643,225734.824558486
1644,234568.956957095
1645,199635.609270623
1646,155993.396851141
1647,156713.590452439
1648,130047.325608078
1649,139480.882375881
1650,114280.478418856
1651,115937.465276137
1652,98588.6343775752
1653,100811.727406911
1654,142440.777538479
1655,141443.530958589
1656,141188.896138235
1657,145590.410423759
1658,141507.035322017
1659,117969.392310146
1660,148836.482058275
1661,445654.717455453
1662,398785.428131041
1663,376753.673160011
1664,529294.500656851
1665,296066.122817954
