"Id","SalePrice"
1461,116156.714081315
1462,164483.69082845
1463,184627.014391247
1464,195073.980264222
1465,201034.488435843
1466,167462.308027827
1467,177576.225889242
1468,162560.70830445
1469,197259.777225752
1470,122045.396155386
1471,193561.014297365
1472,96432.2392690778
1473,95225.7504961423
1474,149048.735923537
1475,110884.261920777
1476,373230.648812641
1477,252021.049184377
1478,289304.725215977
1479,277854.49972694
1480,480913.932660964
1481,345955.753014062
1482,215794.67029285
1483,179482.220110142
1484,165920.288345983
1485,189742.326732523
1486,196622.884635415
1487,338277.645051883
1488,231913.783101021
1489,196516.36714487
1490,231914.018400991
1491,191749.636966639
1492,91997.6008529819
1493,188543.73958654
1494,297384.121788117
1495,296597.14420636
1496,235559.913626365
1497,179817.049719152
1498,164684.661424906
1499,160227.704000991
1500,154550.275592042
1501,171731.867651492
1502,148658.391121739
1503,288207.942834659
1504,243443.09830241
1505,224877.88697184
1506,199162.332741936
1507,248565.077946657
1508,194978.140830762
1509,162772.10115192
1510,145996.70560382
1511,145203.967788993
1512,184574.972707749
1513,140913.174742095
1514,161267.626229971
1515,179270.110866072
1516,156032.041391252
1517,164577.270108689
1518,138785.468307368
1519,206599.582124719
1520,132472.12801787
1521,131984.978708241
1522,175365.909505445
1523,111066.39937851
1524,127343.395829508
1525,122709.564444561
1526,118245.783435499
1527,102107.248983354
1528,134129.657767823
1529,151195.336550097
1530,175779.630790781
1531,104435.749233776
1532,104371.978285454
1533,160488.868676887
1534,119696.486052975
1535,154972.841200504
1536,112642.015926107
1537,63892.9912252456
1538,158271.298123761
1539,198641.055042823
1540,97187.5859054841
1541,141214.685094161
1542,141503.651529438
1543,198191.390812311
1544,88115.4903645802
1545,116557.845594748
1546,131669.966166037
1547,136946.681312944
1548,142702.252391281
1549,114125.858238901
1550,138105.345328284
1551,117821.13710736
1552,134794.281845836
1553,151308.156753128
1554,118867.683706494
1555,171667.506739833
1556,89790.8064539157
1557,106354.98329162
1558,91363.168754875
1559,86088.4401494363
1560,140231.763256104
1561,131613.667425558
1562,130414.733942001
1563,123567.642308196
1564,159257.338129277
1565,144079.102438786
1566,234623.04634256
1567,73284.1403200753
1568,239703.759642899
1569,134058.171804977
1570,139791.904149919
1571,121764.397347882
1572,145124.830818405
1573,225733.743295559
1574,127847.52248158
1575,234127.492408957
1576,247482.118855959
1577,186502.641258247
1578,143885.360948479
1579,145618.576289413
1580,193908.24470172
1581,159452.551117862
1582,130525.639972546
1583,319837.728804998
1584,218803.953998716
1585,141697.478536436
1586,62336.7952495975
